,Statistic,#,Full Name,Ht.,Wt.,Pos.,Academic Year,Hometown,Current School Name,High School,Previous School,Instagram,Twitter,Image,Name,Title
0,,1.0,Abe Camara,6-0,190.0,S,Jr.,"Alpharetta, Ga.",TCU,West Forsyth High School,Coffeyville Community College,abe.camara,@AbeCamara_,,,
1,,1.0,Cordale Russell,6-4,205.0,WR,Fr.,"Mesquite, Texas",TCU,North Mesquite High School,,caantguard5._,@UCantguard5,,,
2,,2.0,Josh Newton,6-0,195.0,CB,Sr.,"Monroe, La.",TCU,Ouachita Parish High School,ULM,figbumpnrunn_,bumpnrunfig,,,
3,,2.0,Trey Sanders,6-0,214.0,RB,Jr.,"Port Saint Joe, Fla.",TCU,IMG Academy,Alabama,t_sanders6,@6sixGod_,,,
4,,3.0,Mark Perry,6-0,215.0,S,Sr.,"Rancho Cucamonga, Calif.",TCU,Rancho Cucamonga High School,Colorado,_mp5ive,PresidentialMP,,,
5,,3.0,Savion Williams,6-5,215.0,WR,Jr.,"Marshall, Texas",TCU,Marshall High School,,savionwilliams18,Sxee18x,,,
6,,4.0,Chandler Morris,6-0,195.0,QB,So.,"Highland Park, Texas",TCU,Highland Park High School,Oklahoma,chandlermorris4,Chandleram4,,,
7,,4.0,Namdi Obiazor,6-3,210.0,LB,Jr.,"Eden Prairie, Minn.",TCU,Eden Prairie High School,Iowa Western Community College,namdi1k,namdi1k,,,
8,,6.0,Jamoi Hodge,6-2,245.0,LB,Sr.,"Winston-Salem, N.C.",TCU,Reynolds High School,Independence Community College,jamoi_hodge_4,jamoi_hodge_15,,,
9,,6.0,Chase Jackson,6-2,180.0,WR,So.,"Choctaw, Okla.",TCU,Choctaw High School,,chasee.24,ChaseJackson24,,,
10,,7.0,Channing Canada,6-1,185.0,CB,So.,"Boutte, La.",TCU,Hahnville High School,Trinity Valley Community College,chvnniing,@ccanada__,,,
11,,9.0,Emani Bailey,5-9,200.0,RB,Jr.,"Denton, Texas",TCU,Ryan High School,Louisiana,,ethabeast9,,,
12,,9.0,Marcel Brooks,6-2,210.0,LB,Jr.,"Fort Worth, Texas",TCU,Marcus High School,LSU,marcelbrooks9,MarcelBrooks_5,,,
13,,10.0,Thomas Armstrong,6-3,235.0,LB,Jr.,"Hollywood, Fla.",TCU,Chaminade-Madonna College Preparatory,,t24armstrong,,,,
14,,10.0,Josh Hoover,6-1,205.0,QB,R-Fr.,"Rockwall, Texas",TCU,Rockwall-Heath High School,,joshjhoover,JoshJHoover,,,
15,,11.0,Chace Biddle,6-0,205.0,S,So.,"Garland, Texas",TCU,Garland High School,,d1chace,d1chace,,,
16,,11.0,JoJo Earle,5-10,170.0,WR,Jr.,"Aledo, Texas",TCU,Aledo High School,Alabama,shelovezjojo,@jojoearle1,,,
17,,12.0,Terrence Cooks Jr.,6-2,225.0,LB,So.,"Pearland, Texas",TCU,Shadow Creek High School,Texas,c33ks_ii,ii_cooks,,,
18,,13.0,Luke Pardee,6-1,190.0,QB,So.,"Houston, Texas",TCU,Klein Cain High School,,_lukepardee,lukepardee,,,
19,,13.0,Jaylon Robinson,5-9,180.0,WR,Sr.,"Fort Worth, Texas",TCU,All Saints Episcopal High School,Ole Miss,jayf1ash,@jayf1ash,,,
20,,13.0,Mason White,6-1,180.0,CB,Jr.,"Van Nuys, Calif.",TCU,Birmingham Charter High School,Mount San Antonio College,_.masson,@MasonWhite5311,,,
