,Statistic,Full Name,Pos.,Ht.,Wt.,Year,Hometown / High school,#,Current School Name,Image,Name,Title
0,,"Valdez, Cam'Ron",RB,5-9,205.0,So.,"Rockdale, Texas / Rockdale",0.0,Texas Tech,,,
1,,"Williams, Rayshad",DB,6-3,205.0,S-Sr.,"Memphis, Tenn. / Whitehaven",0.0,Texas Tech,,,
2,,"Price, Myles",WR,5-10,190.0,Sr.,"The Colony, Texas / The Colony",1.0,Texas Tech,,,
3,,"Taylor-Demerson, Dadrion",DB,5-11,195.0,S-Sr.,"Oklahoma City, Okla. / Carl Albert",1.0,Texas Tech,,,
4,,"Morton, Behren",QB,6-2,210.0,So.,"Eastland, Texas / Eastland",2.0,Texas Tech,,,
5,,"Brown, Jordan",WR,5-11,195.0,Jr.,"Dallas, Texas / DeSoto",4.0,Texas Tech,,,
6,,"Floyd, Nate",DB,6-0,190.0,So.,"College Station, Texas / A&M Consolidated",4.0,Texas Tech,,,
7,,"Ledet Jr., Quincy",DL,6-2,305.0,Sr.,"Orange, Texas / West Orange-Stark",5.0,Texas Tech,,,
8,,"Cole, Myles",OLB,6-6,285.0,S-Sr.,"Shreveport, La. / Evangel Christian Academy",6.0,Texas Tech,,,
9,,"Sparkman, J.J.",WR,6-4,220.0,Jr.,"Longview, Texas / Pine Tree",6.0,Texas Tech,,,
10,,"Linton, Steve",OLB,6-5,235.0,Sr.,"Dublin, Ga. / Dublin",7.0,Texas Tech,,,
11,,"Eakin, Coy",WR,6-2,210.0,R-Fr.,"Stephenville, Texas / Stephenville",8.0,Texas Tech,,,
12,,"Pierre, Jesiah",LB,6-2,245.0,Sr.,"Mount Dora, Fla. / Mount Dora Christian Academy",8.0,Texas Tech,,,
13,,"Baskerville, C.J.",DB,6-3,210.0,Jr.,"North Richland, Texas / Richland",9.0,Texas Tech,,,
14,,"Bradley, Jerand",WR,6-5,215.0,So.,"Frisco, Texas / DeSoto",9.0,Texas Tech,,,
15,,"McCray, Drae",WR,5-9,185.0,Jr.,"Tallahassee, Fla. / North Florida Christian",10.0,Texas Tech,,,
