,#,Name,Pos.,Ht.,Wt.,Cl.,Exp.,Hometown / Previous School,Current School Name,Opendorse
0,2.0,Matt Jones,LB,"6' 3""",224.0,R-Sr.,3L,"Odessa, Texas / Odessa Permian HS",Baylor,matt-jones-0_hrr5kd
1,7.0,Bryson Jackson,S,"6' 2""",204.0,7th,4L,"Mansfield, Texas / Lake Ridge HS",Baylor,bryson-jackson
2,9.0,TJ Franklin,DL,"6' 5""",265.0,5th,4L,"Temple, Texas / Temple HS",Baylor,tj-franklin
3,11.0,Ketron Jackson Jr.,WR,"6' 2""",195.0,Jr.,TR,"Royse City, Texas / Royse City HS / Arkansas",Baylor,ketron-jackson-jr
4,12.0,Alfonzo Allen,S,"5' 11""",183.0,So.,1L,"Miami, Fla. / Miami Central HS",Baylor,alfonzo-allen
5,12.0,Blake Shapen,QB,"6' 0""",200.0,R-Jr.,2L,"Shreveport, La. / Evangel Christian Academy",Baylor,blake-shapen
6,13.0,Isaiah Dunson,CB,"6' 1""",186.0,So.,TR,"Tucker, Ga. / Tucker HS",Baylor,isaiah-dunson
7,13.0,Sawyer Robertson,QB,"6' 4""",210.0,R-So.,TR,"Lubbock, Texas / Coronado HS / Mississippi State",Baylor,sawyer-robertson
8,14.0,Caden Jenkins,CB,"6' 3""",165.0,Fr.,HS,"Lewisville, Texas / Lewisville HS",Baylor,
9,14.0,Armani Winfield,WR,"6' 2""",203.0,R-Fr.,RS,"Lewisville, Texas / Lewisville HS",Baylor,armani-winfield
10,15.0,RJ Martinez,QB,"6' 0""",185.0,Jr.,TR,"Austin, Texas / Westwood HS / Northern Arizona",Baylor,
11,15.0,Carl Williams IV,CB,"6' 0""",173.0,Fr.,HS,"Baton Rouge, La. / Southern Lab HS",Baylor,
12,16.0,Hal Presley,WR,"6' 3""",199.0,Jr.,2L,"Mansfield, Texas / Mansfield Summit HS",Baylor,hal-presley-iii
13,17.0,Landry Kinne,WR,"6' 0""",185.0,R-Jr.,RS,"Waco, Texas / La Vega HS / Tyler CC",Baylor,
14,18.0,Brayson McHenry,QB,"5' 11""",193.0,R-Fr.,RS,"Texarkana, Texas / Texarkana HS",Baylor,brayson-mchenry
15,18.0,Jordan Nabors,WR,"5' 11""",182.0,So.,1L,"Rockwall, Texas / Heath HS",Baylor,jordan-nabors
16,19.0,AJ McCarty,S,"5' 11""",180.0,R-Jr.,2L,"Brownwood, Texas / Brownwood HS",Baylor,adonis-mccarty-jr
17,20.0,Devin Lemear,S,"5' 11""",183.0,R-So.,1L,"Manor, Texas / Manor HS",Baylor,devin-lemear
18,21.0,Chateau Reed,CB,"6' 2""",193.0,R-Jr.,2L,"Lawton, Okla. / Lawton HS",Baylor,chateau-reed
19,21.0,Dominic Richardson,RB,"6' 0""",207.0,Jr.,TR,"Oklahoma City, Okla. / Bishop McGuinness / Oklahoma State",Baylor,dominic-richardson
20,22.0,Reggie Bush,CB,"6' 0""",183.0,R-Fr.,RS,"Frisco, Texas / Independence HS",Baylor,L4RbYoR6s
21,23.0,Jordan Jenkins,RB,"6' 1""",222.0,R-So.,1L,"Lindale, Texas / Lindale HS",Baylor,jordan-jenkins
22,24.0,Cameron Bonner,WR,"5' 11""",178.0,R-Fr.,RS,"Houston, Texas / St. Thomas HS",Baylor,cameron-bonner
23,24.0,Corey Gordon Jr.,S,"6' 2""",175.0,R-Fr.,RS,"Oklahoma City, Okla. / Putnam City West HS",Baylor,corey-gordon
24,25.0,Jacoby Clarke,RB,"5' 11""",231.0,R-Sr.,2L,"The Woodlands, Texas / The Woodlands HS",Baylor,jacoby-clarke
25,26.0,Jonah Burton,WR,"5' 11""",203.0,R-So.,1L,"Simi Valley, Calif. / Simi Valley HS",Baylor,jonah-burton
26,26.0,Garrison Grimes,LS,"6' 2""",215.0,R-So.,1L,"American Fork, Utah / American Fork HS",Baylor,garrison-grimes
27,27.0,Tevin Williams III,CB,"6' 1""",188.0,R-So.,1L,"Stillwater, Okla. / Stillwater HS",Baylor,tevin-williams
28,28.0,Devyn Bobby,S,"5' 10""",174.0,So.,1L,"Desoto, Texas / Desoto HS",Baylor,devyn-bobby
29,28.0,Qualan Jones,RB,"5' 10""",242.0,R-Sr.,3L,"Grand Prairie, Texas / Trinity Christian",Baylor,qualan-jones
30,29.0,Romario Noel,CB,"6' 3""",212.0,R-So.,1L,"Cypress, Texas / Cy Ranch HS",Baylor,romario-noel
31,29.0,Richard Reese,RB,"5' 9""",175.0,So.,1L,"Bellville, Texas / Bellville HS",Baylor,
32,30.0,Michael Allen,S,"5' 8""",177.0,R-Fr.,RS,"Stilwell, Kan. / Blue Valley HS",Baylor,vNp4z_suq
33,30.0,Bryson Washington,RB,"6' 0""",205.0,Fr.,HS,"Franklin, Texas / Franklin HS",Baylor,
34,32.0,Carmello Jones,LB,"6' 2""",222.0,R-Fr.,RS,"Mobile, Ala. / West Orange-Stark HS",Baylor,carmello-jones
35,34.0,MJ Artmore Jr.,CB,"6' 0""",185.0,Fr.,HS,"Mountainview, Calif. / Saint Francis HS",Baylor,
