,Statistic,No.,Name,Pos.,Ht.,Wt.,Elig.,Hometown / High School,Current School Name,Image,Title
0,,0.0,Coco Azema,DB,5-11,185.0,Jr.,"Cypress, Texas / Langham Creek",Northwestern,,
1,,0.0,Cole Freeman,QB,6-0,205.0,So.,"Summit, New Jersey / Delbarton School",Northwestern,,
2,,1.0,Raymond Niro III,WR,5-10,190.0,Sr.,"Barrington, Illinois / Barrington",Northwestern,,
3,,2.0,Cameron Mitchell,DB,6-0,195.0,Jr.,"Bolingbrook, Illinois / Bolingbrook",Northwestern,,
4,,3.0,Ryan Hilinski,QB,6-3,225.0,Jr.,"Orange, California / Orange Lutheran",Northwestern,,
5,,3.0,Jaheem Joseph,DB,5-10,190.0,Jr.,"Miami Gardens, Florida / Monsignor Edward Pace",Northwestern,,
6,,4.0,Wendell Davis Jr.,LB,6-2,240.0,R-Jr.,"Richmond, Virginia / Benedictine College Prep",Northwestern,,
7,,4.0,Cam Porter,RB,5-10,220.0,Jr.,"Cincinnati, Ohio / LaSalle",Northwestern,,
8,,5.0,Jacob Gill,WR,6-0,190.0,So.,"Raleigh, North Carolina / Cardinal Gibbons",Northwestern,,
9,,6.0,Malik Washington,WR,5-9,192.0,Sr.,"Lawrenceville, Georgia / Parkview",Northwestern,,
10,,7.0,Ore Adeyi,DB,5-11,190.0,So.,"Mansfield, Texas / Mansfield Legacy",Northwestern,,
11,,7.0,Anthony Tyus III,RB,6-1,225.0,So.,"Portage, Michigan / Portage Northern",Northwestern,,
12,,8.0,Wayne Dennis Jr.,WR,6-3,200.0,Jr.,"Tampa, Florida / Armwood",Northwestern,,
13,,8.0,Ryan Johnson,DL,6-4,280.0,Gr.,"Axis, Alabama / St. Paul's Episcopal",Northwestern,,
14,,9.0,Jeremiah Lewis,DB,5-11,190.0,R-Sr.,"Lewisville, Texas / Prestonwood Christian",Northwestern,,
15,,9.0,Carl Richardson,QB,6-4,207.0,Jr.,"Salinas, California / Salinas",Northwestern,,
16,,10.0,Theran Johnson,DB,5-11,170.0,So.,"Indianapolis, Indiana / North Central",Northwestern,,
17,,10.0,Brendan Sullivan,QB,6-3,212.0,So.,"Davison, Michigan / Davison",Northwestern,,
18,,11.0,Andrew Clair,RB,5-11,202.0,Gr.,"St. Louis, Missouri / St. Louis University",Northwestern,,
19,,11.0,A.J. Hampton Jr.,DB,5-11,180.0,Sr.,"Warren, Arkansas / Paul R Wharton (Tampa, Fla.)",Northwestern,,
20,,12.0,Jack Lausch,QB,6-2,190.0,Fy.,"Chicago, Illinois / Brother Rice",Northwestern,,
21,,12.0,Nigel Williams,DB,6-1,192.0,Jr.,"Richmond, Virginia / Collegiate School",Northwestern,,
22,,13.0,Preston Bacon,WR,6-2,195.0,Jr.,"Oak Hill, Va. / The Potomac School",Northwestern,,
23,,13.0,"Garnett Hollis, Jr.",DB,6-2,202.0,Jr.,"Nashville, Tennessee / Battle Ground Academy",Northwestern,,
24,,14.0,Donnie Gray,WR,6-0,190.0,So.,"New Haven, Connecticut / Deerfield Academy",Northwestern,,
