,Statistic,#,Image,Full Name,Pos.,Ht.,Wt.,Year,Current School Name,Letters,Hometown,HIgh School,Previous School,Name,Title
0,,2.0,,Kennieth Lacy,RB,5-9,185.0,Jr.,Northwestern State,1.0,"Kilgore, Texas",Kilgore HS,Kilgore College,,
1,,3.0,,Shemar Bartholomew,CB,6-1,205.0,Sr.,Northwestern State,4.0,"New Orleans, La.",Cypress Ranch (Texas) HS,,,
2,,3.0,,Jaheim Walters,WR,6-2,175.0,R-So.,Northwestern State,1.0,"New Orleans, La.",St. Augustine HS,,,
3,,4.0,,Ke'Nard King,WR,5-10,170.0,Jr.,Northwestern State,1.0,"Houston, Texas",Fort Bend Marshall HS,Trinity Valley CC / Tulsa,,
4,,5.0,,Josh Clarke,DE,6-3,230.0,Sr.,Northwestern State,2.0,"New Orleans, La.",Riverdale HS,Ole Miss / Holmes CC,,
5,,5.0,,Jaren Mitchell,WR,5-10,185.0,Sr.,Northwestern State,1.0,"Dallas, Texas",Hebron HS,Northern Colorado,,
6,,5.0,,Quentin Ross,C,6-3,300.0,Jr.,Northwestern State,0.0,"Baton Rouge, La.",Woodlawn HS,Garden City CC,,
7,,6.0,,Scooter Adams,RB,5-9,180.0,R-Sr.,Northwestern State,1.0,"Hallettsville, Texas",Hallettsville HS,Kilgore College,,
8,,6.0,,Jordan Banks,LB,6-2,235.0,So.,Northwestern State,1.0,"Los Angeles, Calif.",Narbonne HS,Arizona State,,
9,,7.0,,Kareame Cotton Jr.,QB,6-2,200.0,R-So.,Northwestern State,1.0,"North Little Rock, Ark.",North Little Rock HS,,,
10,,7.0,,Anthony Richard,CB,6-2,185.0,So.,Northwestern State,0.0,"Lafayette, La.",Lafayette Christian Academy,Harding,,
11,,8.0,,Garrison Johnson,RB,5-11,212.0,Jr.,Northwestern State,1.0,"Manvel, Texas",Manvel HS,Syracuse / Kilgore College,,
12,,9.0,,Andy Pierre-Antoine,WR,6-1,190.0,R-Sr.,Northwestern State,1.0,"Miami, Fla.",North Miami Sr. HS,Reedley College,,
13,,10.0,,Zach Patterson,WR,5-11,180.0,Sr.,Northwestern State,1.0,"Corinth, Miss.",Corinth HS,East Mississippi CC,,
14,,10.0,,Dez Williams,LB,6-0,217.0,Jr.,Northwestern State,1.0,"Mound Bayou, Miss.",Cleveland Central HS,Coahoma CC,,
15,,11.0,,Jacob Washington,S,6-1,190.0,Sr.,Northwestern State,2.0,"Port Arthur, Texas",Memorial HS,Kilgore,,
16,,13.0,,Jeremiah Bodwin,DE,6-4,225.0,So.,Northwestern State,0.0,"Dallas, Texas",Parish Episcopal HS,Nevada,,
17,,14.0,,Cadillac Rhone,S,6-2,190.0,R-Fr.,Northwestern State,1.0,"Many, La.",Many HS,,,
18,,15.0,,Ty Hall,CB,6-2,190.0,So.,Northwestern State,1.0,"Frisco, Texas",Frisco Lone Star HS,Grambling,,
19,,16.0,,Chance Newman,QB,6-3,215.0,Sr.,Northwestern State,1.0,"Daphne, Ala.",Daphne HS,Virginia Military Institute / Jacksonville St.,,
20,,16.0,,William White,S,6-1,205.0,So.,Northwestern State,0.0,"Carrollton, Texas",Hebron HS,Houston,,
21,,17.0,,DJ Johnson,S,5-10,179.0,R-Fr.,Northwestern State,0.0,"New Orleans, La.",St. Augustine HS,,,
22,,18.0,,Dante Thomas,CB,6-0,180.0,So.,Northwestern State,1.0,"Hammond, La.",John Curtis HS,,,
23,,18.0,,Tyler Vander Waal,QB,6-4,220.0,Sr.,Northwestern State,0.0,"Sacramento, Calif.",Christian Brothers HS,Idaho State,,
24,,19.0,,B J Higgins,QB,6-1,205.0,R-Fr.,Northwestern State,0.0,"Dallas, Texas",Roosevelt HS,,,
25,,19.0,,Kwame Sarkodie,DE,6-2,210.0,Sr.,Northwestern State,2.0,"Arlington, Texas",Mansfield HS,Navarro JC,,
26,,20.0,,Kevin Davis Jr.,S,6-0,190.0,Jr.,Northwestern State,2.0,"Freeport, Texas",Brazosport HS,,,
27,,20.0,,Hogan Wasson,WR,5-10,175.0,R-Fr.,Northwestern State,0.0,"Euless, Texas",Colleyville HS,,,
28,,21.0,,Kolbe Burrell,RB,5-9,200.0,So.,Northwestern State,1.0,"Jenkintown, Pa.",St. Joe's Prep,Buffalo,,
29,,21.0,,Jared Pedraza,LB,6-1,225.0,Jr.,Northwestern State,2.0,"Franklin, Texas",Franklin HS,,,
30,,23.0,,Ronnie Caldwell,S,5-11,195.0,Jr.,Northwestern State,1.0,"Austin, Texas",Cedar Park HS,Tyler JC,,
31,,24.0,,Trevion Sneed,DE,6-2,242.0,So.,Northwestern State,0.0,"Mineola, Texas",Mineola HS,SMU,,
32,,25.0,,Isaiah Robinson,S,6-2,195.0,Jr.,Northwestern State,2.0,Bossier City,Parkway HS,,,
33,,26.0,,Christian Hawkins,LB,6-2,230.0,R-So.,Northwestern State,0.0,"Zachary, La.",Slaughter Community Charter School,Milsaps College,,
34,,27.0,,Antwon Fegans,S,6-1,195.0,So.,Northwestern State,1.0,"Oxford, Ala.",Oxford HS,Arkansas State,,
35,,30.0,,Micah Jernigan,WR,5-10,179.0,Jr.,Northwestern State,1.0,"Shreveport, La.",Calvary Baptist Academy,Southern Miss.,,
36,,31.0,,Matthew Broad,LB,6-2,240.0,R-So.,Northwestern State,0.0,"Antioch, Calif.",Cornerstone Christian School,Los Medanos College,,
37,,32.0,,Ara Rauls III,S,5-10,178.0,Jr.,Northwestern State,2.0,"Waco, Texas",La Vega HS,,,
38,,35.0,,Ja'Quel Mack,LB,6-3,215.0,R-Fr.,Northwestern State,0.0,"Gonzales, La.",East Ascension HS,,,
39,,35.0,,SirMichael Veasley,RB,6-0,210.0,R-So.,Northwestern State,1.0,"Dallas, Texas",Life HS Waxahachie,,,
40,,36.0,,Christian Thomas,DE,6-2,235.0,So.,Northwestern State,1.0,"Port Arthur, Texas",Port Arthur Memorial HS,,,
