,Statistic,#,Full Name,Pos.,Year,Ht.,Wt.,Hometown / High School,Current School Name,Previous School,Image,Name,Title
0,,0.0,"Martin, Johnny",RB,So.,5-10,215.0,"Lawnside, N.J. / Highland",Stony Brook,Charlotte,,,
1,,1.0,"El, Rah'Khem",WR,So.,5-9,162.0,"Syracuse, N.Y. / East Syracuse Minoa",Stony Brook,,,,
2,,2.0,"Roberts, AJ",LB,Sr.,6-0,230.0,"Staten Island, N.Y. / Tottenville",Stony Brook,Pittsburgh,,,
3,,3.0,"Cook, Jayden",RB,Sr.,6-0,225.0,"West Haverstraw, N.Y. / Spring Valley",Stony Brook,Milford Academy,,,
4,,4.0,"Dempster, Roland",RB,Sr.,6-0,225.0,"Staten Island, N.Y. / Tottenville",Stony Brook,,,,
5,,5.0,"Turner, Jadon",RB,Sr.,5-10,175.0,"Rochester, N.Y. / Irondequoit",Stony Brook,,,,
6,,6.0,"Gross Jr., Cory",DB,Gr.,6-2,205.0,"Rochester, N.Y. / Brockport",Stony Brook,Tennessee State / Buffalo,,,
7,,7.0,"Case, Casey",QB,Jr.,6-6,222.0,"Winter Park, Fla. / Winter Park",Stony Brook,Buffalo,,,
8,,7.0,"Lazarus, Shamel",DB,Sr.,6-2,193.0,"Queens, N.Y. / Erasmus Hall",Stony Brook,UConn,,,
9,,8.0,"Bryden, Daron",QB,Jr.,6-2,200.0,"Bloomfield, Conn. / Bloomfield",Stony Brook,,,,
10,,9.0,"Lawrence, Rushawn",DL,Sr.,6-2,290.0,"Philadelphia, Pa. / Monsignor Bonner",Stony Brook,Albany / Lackawanna,,,
11,,13.0,"Clary, Dyshier",DL,Jr.,6-2,270.0,"East Camden, N.J. / Woodrow Wilson",Stony Brook,Temple,,,
12,,14.0,"Faulk, Rodney",DL,Jr.,6-3,240.0,"Washington, D.C. / Gonzaga College HS",Stony Brook,,,,
13,,14.0,"Guttieri, Drew",QB,Sr.,6-2,210.0,"Oakdale, N.Y. / Connetquot",Stony Brook,,,,
14,,15.0,"Davis Jr., Jeffrey",CB,Jr.,6-0,174.0,"Bristol, Conn. / Kingswood Oxford",Stony Brook,Penn State,,,
15,,17.0,"Jackson, Jaidan",DL,Jr.,6-2,270.0,"Freeport, N.Y. / Grayson",Stony Brook,,,,
16,,17.0,"Jorgensen, Brandon",QB,So.,6-4,214.0,"Beacon, N.Y. / Our Lady of Lourdes",Stony Brook,,,,
17,,19.0,"Haffery, Cashton",DB,Sr.,5-10,185.0,"Clarksville, Tenn. / Northeast",Stony Brook,Moorpark,,,
