,Statistic,#,Name,Ht.,Wt.,Pos.,Yr.,Hometown / High School,Current School Name,Previous School,Image,Title
0,,1.0,Ryan Flournoy,6-2,197.0,WR,Sr.,"Hazelcrest, Ill. / Homewood-Flossmoor",Southeast Missouri State,Iowa Western CC,,
1,,2.0,Jackson Bray,5-11,184.0,WR,Fr.,"Nixa, Mo. / Nixa",Southeast Missouri State,,,
2,,2.0,Joedrick Lewis,5-11,184.0,DB,Jr.,"Houston, Texas / MacArthur",Southeast Missouri State,Trinity Valley CC,,
3,,3.0,Logan Bruns,6-1,196.0,K,R-Fr.,"Jackson, Mo. / Jackson",Southeast Missouri State,,,
4,,4.0,Christian Fuhrman,6-1,237.0,ILB,Jr.,"Mesa, Ariz. / Queen Creek",Southeast Missouri State,Garden City CC,,
5,,5.0,Ty Leonard,6-0,170.0,DB,Sr.,"Louisville, Ky. / Butler",Southeast Missouri State,,,
6,,6.0,Geno Hess,5-8,222.0,RB,Gr.,"Peoria, Ill. / Peoria",Southeast Missouri State,,,
7,,7.0,Jalen Blackburn,6-2,195.0,WR,R-Fr.,"Fayetteville, Ark. / Fayetteville",Southeast Missouri State,,,
8,,7.0,Lawrence Johnson,6-0,196.0,DB,Gr.,"St. Louis, Mo. / Riverview Gardens",Southeast Missouri State,,,
9,,9.0,Keveon Robbins,6-0,211.0,RB,So.,"Sparta, Ga. / Hancock Central",Southeast Missouri State,,,
10,,10.0,Paxton DeLaurent,6-5,215.0,QB,Jr.,"Camdenton, Mo. / Camdenton",Southeast Missouri State,Central Methodist,,
11,,10.0,Dony'e Taylor,6-1,202.0,DB,Jr.,"Cape Girardeau, Mo. / Central",Southeast Missouri State,,,
12,,11.0,Patrick Heitert,6-0,201.0,QB,R-Fr.,"St. Louis, Mo. / Christian Brothers College",Southeast Missouri State,,,
13,,11.0,Mike Matthews,6-1,237.0,OLB,Sr.,"Fayetteville, N.C. / Jack Britt",Southeast Missouri State,,,
14,,12.0,Sam Cook,6-4,217.0,OLB,Jr.,"Neosho, Mo. / Neosho",Southeast Missouri State,Western Illinois,,
15,,13.0,Mali Walton,6-0,222.0,ILB,Jr.,"St. Louis, Mo. / Parkway South",Southeast Missouri State,,,
16,,14.0,Dalyn McDonald,5-11,174.0,WR,Sr.,"Gautier, Miss. / Gautier",Southeast Missouri State,Southwest Mississippi CC,,
