,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown / High School,Previous School,Image,Name,Title
43,,75.0,Michael Vargas,OL,6-4,309.0,R-Jr.,"Wichita Falls, Texas / Wichita Falls HS",,,,
44,,77.0,Jayden Borjas,OL,6-5,230.0,Gr.,"Edinburg, Texas / Robert Vela HS",,,,
45,,78.0,Austin DeArmond,OL,6-4,294.0,Rf.,"San Antonio, TX /",,,,
46,,82.0,Dayton Toney,WR,6-1,188.0,R-So.,"San Antonio, TX /",Hawaii at Manoa,,,
47,,83.0,Jayden Jones,WR,6-2,188.0,R-Jr.,"Sachse, Texas / Rockwall-Heath HS",,,,
48,,84.0,Jalen Smothers,WR,5-10,189.0,R-Jr.,"San Antonio, Texas / Roosevelt HS",,,,
49,,88.0,Jackson Lowe,TE,6-5,237.0,R-Jr.,"Cartersville,GA /",,,,
50,,90.0,Sam Latham,DL,6-5,260.0,Gr.,"Austin, Texas / McNeil HS",,,,
51,,91.0,Lloyd Johnson,DL,6-2,279.0,Rf.,"Hollywood, FL /",,,,
52,,96.0,Josh Gonzalez,DL,6-3,307.0,R-So.,San Antonio / Stevens High School,,,,
53,,,Darren Brown,DT,6-1,323.0,Gr.,/ Judson HS,SMU,,,
54,,,Jalen Brown,QB,-,,So.,/,,,,
55,,,Marcus Brown,DE,6-5,245.0,Sr.,/ Lamar HS,Howard,,,
56,,,Joe Bryson,OL,6-6,300.0,Gr.,/ Rock Canyon HS,USC / Colorado Mesa,,,
57,,,Zach Calzada,QB,6-4,200.0,So.,/ Lanier HS,Texas A&M / Auburn,,,
58,,,Chase Carter,DE,6-4,195.0,Rf.,/ Minnehaha Academy,Michigan State,,,
59,,,Mason Chambers,S,5-10,210.0,Sr.,/ Clemens HS,Iowa State,,,
60,,,Ben D'Aquila,P/K,6-0,200.0,So.,/ Damien HS,Mt. San Antonio College,,,
61,,,Emmerick Dopona,LB,5-10,215.0,So.,/ Marcus HS,North Texas,,,
62,,,Branon Jackson,OL,6-3,295.0,R-Jr.,/ Brennan HS,Texas A&M - Kingsville,,,
63,,,Derrick Lewis,LB,6-1,210.0,Jr.,/ Clemens HS,Texas Tech,,,
64,,,Dalton Meyer,TE,6-2,250.0,R-Sr.,/ Alvin HS,Sam Houston State University,,,
65,,,Sam Obiang,DL,6-0,285.0,Gr.,/ Woodbridge Academy,Texas State / Northeastern Oklahoma A&M,,,
66,,,Chris Pierce,DB,6-0,170.0,So.,/ Red Oak HS,Eastern New Mexico,,,
67,,,Ryan Stubblefield,QB,5-10,205.0,R-Fr.,/ Foster HS,Eastern Carolina University,,,
68,,,Jaelon Travis,WR,6-0,200.0,So.,/ Mansfield HS,Butler Community College,,,
69,,,Ronald Wilson,DE,5-10,220.0,Jr.,/ North Crowley,University of New Mexico,,,
0,,,,,,,,,,,Clint Killough,Head Football Coach
1,,,,,,,,,,,Kenny Hill,Associate Head Coach / Running Backs
2,,,,,,,,,,,Conner McQueen,Offensive Coordinator / Quarterbacks
3,,,,,,,,,,,Jim Gush,Defensive Coordinator
4,,,,,,,,,,,Blair Cavanaugh,Special Teams Coordinator
5,,,,,,,,,,,Sam Bennett,Linebackers / Academic Coordinator
6,,,,,,,,,,,Ty Darlington,Tight Ends / Director of High School Relations
7,,,,,,,,,,,Ben Olson,Defensive Line / Defensive Run Game Coordinator
8,,,,,,,,,,,George Sanders,Defensive Backs / Defensive Pass Game Coordinator
9,,,,,,,,,,,Willis White,Wide Receivers / Pass Game Coordinator
10,,,,,,,,,,,Austin Woods,Offensive Line / Run Game Coordinator
11,,,,,,,,,,,Julian De La Hay,Special Teams Quality Control Coach
12,,,,,,,,,,,Tre Spragg,Defense Quality Control Coach
13,,,,,,,,,,,Richard Johnson,Defense Quality Control Coach
14,,,,,,,,,,,Nick Young,Recruiting Coordinator / Senior Analyst
15,,,,,,,,,,,Zack Lucas,Director of Football Operations / NFL Liason
16,,,,,,,,,,,Lauren Mancha,Director of Player Personnel / Director of Campus Relations / Assistant to the Head Coach
17,,,,,,,,,,,Kyle Covington,Defensive Graduate Assistant
18,,,,,,,,,,,Cody Dunn,Football Recruiting Graduate Assistant
19,,,,,,,,,,,Cameron Venzant,Offense Graduate Assistant
20,,,,,,,,,,,Mauricio De La Garza,Offense Graduate Assistant
21,,,,,,,,,,,Doug Johnson,Equipment Graduate Assistant
22,,,,,,,,,,,Lamont Johnson,Offensive Graduate Assistant
0,,,,,,,,,,,"Augie Melendez, Jr.",Head Football Athletic Trainer
1,,,,,,,,,,,April Susita,Athletic Trainer (Football)
