,Statistic,#,Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Previous School,Image,Title
0,,0.0,Kaunor Ashley,CB,5-10,193.0,Jr.,"Muskogee, Okla. / Muskogee High",,,
1,,0.0,Jmariyae Robinson,WR,6-1,170.0,So.,"Cocoa, Fla. / Cocoa High",,,
2,,2.0,Tico Brown,DL,6-2,295.0,Sr.,"Kokomo, Ind. / Homestead High",Central Michigan,,
3,,2.0,Jordan Pachot,QB,6-2,195.0,R-Jr.,"Highland, Calif. / San Gorgonio High",Ventura (Calif.) College,,
4,,3.0,DeAndre Washington,CB,6-2,188.0,Sr.,"Wellington, Kan. / Wellington High",Hutchinson (Kan.) CC,,
5,,4.0,Andrew Cunningham,RB,6-1,225.0,Sr.,"Tampa, Fla. / Cambridge Christian High",Iowa Central CC,,
6,,6.0,Raylen Sharpe,WR,5-9,172.0,Jr.,"Allen, Texas / Allen High",Houston,,
7,,7.0,Naveon Mitchell,WR,5-10,183.0,Sr.,"Richmond, Texas / Travis High",New Mexico State,,
8,,8.0,Larry Wright III,WR,6-4,212.0,R-Jr.,"Apple Valley, Minn. / Eastview High",Minnesota,,
9,,9.0,Jacardia Wright,RB,6-0,220.0,Jr.,"Decatur, Ill. / St. Teresa High",Kansas State,,
10,,10.0,Tyrin Brooks,LB,6-1,220.0,R-Sr.,"Suitland, Md. / Wise High",Mt. San Antonio College,,
11,,10.0,Kaden McMullen,QB,6-4,210.0,R-So.,"O'Fallon, Mo. / Living Word Christian High",Alabama A&M,,
12,,11.0,Jamal McMurrin,CB,5-11,185.0,R-Sr.,"West Salem, Ore. / West Salem High",Butte (Calif.) College,,
13,,12.0,Jacob Clark,QB,6-5,217.0,Jr.,"Rockwall, Texas / Rockwall High",Minnesota,,
14,,12.0,P.J. Hall,S,6-3,200.0,Jr.,"Little Rock, Ark. / Robinson High",,,
15,,13.0,Todric McGee,S,6-1,203.0,R-So.,"Wichita, Kan. / Wichita Northwest High",,,
16,,14.0,Devin Goree,DE,6-3,250.0,Jr.,"Denton, Texas / Guyer High",,,
17,,14.0,Stetson Moore,TE,6-4,250.0,R-Sr.,"Philadelphia, Miss. / Philadelphia High",Liberty,,
18,,16.0,C.J. Crump,CB,6-0,184.0,R-Jr.,"Greensboro, N.C. / Page High",East Carolina,,
19,,16.0,Reid Potts,QB,6-3,176.0,R-So.,"Nixa, Mo. / Nixa High",SEMO,,
20,,17.0,Isaiah Isaac,WR,5-10,174.0,Sr.,"Buford, Ga. / Buford High",Ventura (Calif.) College,,
21,,17.0,Jared Lloyd,LB,6-3,225.0,So.,"Daytona Beach, Fla. / Mainland High",,,
22,,18.0,Terique Owens,WR,6-3,193.0,Sr.,"Pleasanton, Calif. / Bishop O'Dowd High",Florida Atlantic,,
23,,20.0,Donovan Clark,CB,6-2,194.0,Jr.,"Sumner, Wash. / Lincoln High",Boise State,,
24,,21.0,Steven Ward,LB,6-0,217.0,Jr.,"Nixa, Mo. / Nixa High",,,
25,,22.0,Lemondre Joe,CB,6-0,174.0,Jr.,"Deltona, Fla. / Mainland High",,,
26,,22.0,Jeremiah Johnson,RB,6-1,213.0,Jr.,"Sacramento, Calif. / Pleasant Grove High",American River College,,
27,,23.0,Lucas Eatman,LB,6-3,230.0,Jr.,"San Antonio, Texas / Reagan High",,,
28,,23.0,Tywuan Lee,RB,6-2,201.0,R-So.,"Hilliard, Fla. / Hilliard High",,,
29,,24.0,Trae Thompson,FB,6-1,245.0,Sr.,"Tulsa, Okla. / Union High",Northeastern Okla. A&M,,
30,,25.0,Caleb Blake,CB,6-0,187.0,R-Jr.,"Winter Haven, Fla. / Bishop Moore High",Florida State,,
31,,26.0,Tahj Chambers,LB,6-2,218.0,Jr.,"Arlington, Texas / Grace Prep Academy",,,
32,,28.0,Jahiel Blue-Smith,CB,5-9,179.0,Jr.,"Oceanside, Calif. / Chaparral High",Mt. San Jacinto (Calif.) College,,
33,,28.0,Liam O'Reilly,WR,6-2,187.0,So.,"Springfield, Mo. / Springfield Catholic High",,,
34,,29.0,J.J. O'Neal,S,6-2,189.0,So.,"Rogersville, Mo. / Logan-Rogersville High",,,
35,,30.0,Von Young,LB,6-0,219.0,Jr.,"Buckner, Mo. / Fort Osage High",,,
36,,31.0,Grant Burkett,P,6-1,184.0,Jr.,"Joplin, Mo. / Webb City High",,,
37,,31.0,Celdon Manning,RB,5-10,187.0,Jr.,"Allen, Texas / Allen High",,,
38,,32.0,Kilifi Leaaetoa,LB,6-1,228.0,Sr.,"East Menlo Park, Calif. / Menlo Atherton High",Foothill (Calif.) College,,
39,,34.0,Kaleb Peleki,DL,6-3,269.0,So.,"Vallejo, Calif. / Bethel High",,,
40,,35.0,Caleb Bouldin,LB,5-11,200.0,So.,"Bennett, Colo. / Legend High",,,
41,,36.0,Jordan Hoskins,LB,6-0,212.0,R-So.,Detroit Mich. / West Bloomfield High,,,
42,,39.0,Sage White,RB,5-8,174.0,So.,"Hardin, Ill. / Calhoun/Brussels High",,,
43,,40.0,Connor Lair,LB,6-1,220.0,So.,"West Plains, Mo. / West Plains High",,,
44,,41.0,Ahmias Hart,RB,6-2,218.0,So.,"Springfield, Mo. / Central High",,,
45,,43.0,Caleb Dietlin,DE,6-3,249.0,R-So.,"Aurora, Ill. / West Aurora High",,,
46,,44.0,Siale Suliafu,DL,6-0,298.0,Jr.,"Ontario, Calif. / St. Bernard High",,,
47,,45.0,Caden Bolz,LS,6-0,219.0,Jr.,"Overland Park, Kan. / Blue Valley West High",,,
48,,46.0,Cash Hudson,TE/FB,6-3,272.0,So.,"Tulsa, Okla. / Bishop Kelley High",,,
49,,52.0,Thomas Schulte,OL,6-1,288.0,So.,"Nixa, Mo. / Nixa High",,,
50,,53.0,Jeremiah Carter,OL,6-6,301.0,Sr.,"Penns Grove, N.J. / Glasgow High",Lackawanna College,,
51,,54.0,Tevita Fuimaono,OL,6-2,300.0,Sr.,"Pomona, Calif. / Norco High",Riverside (Calif.) City College,,
52,,56.0,Ryan Suliafu,OL,6-2,330.0,Sr.,"Ontario, Calif. / J'Serra Catholic High",Riverside City College,,
53,,57.0,Gilles Tchio,OL,6-3,301.0,So.,"Alpharetta, Ga. / Milton High",,,
54,,66.0,Grant Goodson,OL,6-6,296.0,R-So.,"Norman, Okla. / Norman High",,,
55,,72.0,Mark Hutchinson,OL,6-2,290.0,R-So.,"Hayward, Calif. / Pittsburg High",,,
56,,73.0,Landon Bebee,OL,6-3,298.0,Sr.,"Webb City, Mo. / Webb City High",,,
57,,74.0,Raveion Harrell,OL,6-1,300.0,So.,"Springfield, Mo. / Kickapoo High",Ft. Scott (Kan.) Community College,,
58,,75.0,Ben Martinez,OL,6-3,303.0,Sr.,"South Pasadena, Calif. / South Pasadena High",Mt. San Antonio (Calif.) College,,
59,,76.0,Cristian Loaiza,OL,6-5,325.0,So.,"Wesley Chapel, Fla. / Wiregrass Ranch High",,,
60,,77.0,Andrew Wiens,OL,6-3,289.0,Sr.,"Fresno, Calif. / Clovis North High",Fresno City (Calif.) College,,
61,,79.0,Brett Harris,OL,6-6,293.0,R-So.,"Kansas City, Mo. / Rockhurst High",,,
62,,80.0,Carter Harrell,WR,6-4,205.0,So.,"Springfield, Mo. / Glendale High",,,
63,,84.0,DVontae Key,WR,5-10,187.0,Jr.,"Raytown, Mo. / Raytown High",,,
64,,85.0,Lance Mason,TE,6-3,240.0,So.,"Rockwall, Texas / Rockwall High",,,
65,,87.0,Gary Clinton,TE,6-4,244.0,Jr.,"Webb City, Mo. / Webb City High",,,
66,,88.0,Hunter Wood,WR,6-1,204.0,Jr.,"Springdale, Ark. / Har-Ber High",,,
67,,89.0,Cameron Paul,TE,6-5,230.0,So.,"Kirkwood, Mo. / Kirkwood High",,,
68,,90.0,Sterling Smithson,DL,6-3,315.0,R-So.,"Overland Park, Kan. / Blue Valley High",,,
69,,91.0,Ja'Veo Toliver,DE,6-5,284.0,Jr.,"Springfield, Mo. / Parkview High",,,
70,,92.0,Wesley Bazzle,DL,6-0,283.0,Jr.,"Kansas City, Mo. / Lee's Summit West High",Iowa Central CC,,
71,,95.0,Jalen Williams,DE,6-4,250.0,Jr.,"Overland Park, Kan. / Bishop Miege High",,,
72,,96.0,Armon Wallace,DL,6-0,292.0,Jr.,"St. Charles, Mo. / DeSmet High",,,
73,,98.0,Jayson Caldwell,DL,6-6,235.0,So.,"Dickinson, Texas / Dickinson HIgh",,,
74,,99.0,Allen Love,DL,6-2,296.0,Sr.,"Birmingham, Ala. / Huffman High",Mississippi State,,
0,,,Ryan Beard,,,,,,,,Head Coach
1,,,Nick Petrino,,,,,,,,Offensive Coordinator / Quarterbacks Coach
2,,,L.D. Scott,,,,,,,,Defensive Coordinator / Defensive Line Coach
3,,,Ronnie Fouch,,,,,,,,Co-Offensive Coordinator / Running Backs Coach
4,,,Reggie Johnson,,,,,,,,Co-Defensive Coordinator / Linebackers Coach
5,,,Nelson Fishback,,,,,,,,Co-Special Teams Coordinator / Tight Ends Coach
6,,,Max Halpin,,,,,,,,Offensive Line Coach
7,,,Tramain Thomas,,,,,,,,Defensive Backs Coach
8,,,Kevin Elliott,,,,,,,,Safeties Coach
9,,,Michael Downing,,,,,,,,Outside Linebackers Coach
10,,,David Consiglio,,,,,,,,Strength and Conditioning Coach
11,,,Alex Murphy,,,,,,,,Quality Control - Defense
12,,,Ryan Bennett,,,,,,,,Quality Control - Offense
13,,,Ross Williams,,,,,,,,Quality Control - Offense/Video
14,,,Harris Bivin,,,,,,,,Director of Football Operations
