,Unnamed: 0,Statistic,No.,Image,Name,Pos.,Ht.,Wt.,Cl.,Current School Name,Hometown,High School,Previous School,Title,Yr.,Hgt.,Wgt.,#,Full Name,Hometown/Previous School,Hometown (Prev School),Year,Pos,Academic Year,Hometown / High School,C,Hometown/High School,Unnamed: 7,Exp.,College,Class,Major,School,Hometown(Prev School),Hometown / Last School,Transfer,Player,CL.,NAME,POS,HT,WT,Name.1,Prev School,Yr.-Exp.,Custom Field 1,Custom Field 2,Custom Field 3,Hometown / High School / Prep (Previous College),Twitter,Instagram,FULL NAME,POS.,HT.,WT.,HOMETOWN,HIGH SCHOOL,PREVIOUS SCHOOL,MAJOR,High School / Prev. School,Letters,Photo,HIgh School,Hometown / High School (Last School),Previous College,Facebook,Previous University,High School (Prev. School),2022-23 Football Coaches,2022-23 Football Coaches.1,Eligibility,Position,Height,Weight,Number,Opendorse
100,7,,,,Don Nelson,,,,,Alabama State,,,,Assistant Coach / Tight Ends / Recruiting Coordinator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,8,,,,James Williams,,,,,Alabama State,,,,Assistant Coach / Corners / NFL Liaison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,9,,,,Andre' Pope,,,,,Alabama State,,,,Assistant Coach | Safeties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,10,,,,Todd Middleton,,,,,Alabama State,,,,Assistant Coach | Defensive LIne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,11,,,,Derrick Brown,,,,,Alabama State,,,,Quality Control / Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,12,,,,Giante Hicks,,,,,Alabama State,,,,Student Assistant Coach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,13,,,,Asad Muhammed,,,,,Alabama State,,,,Student Assistant Coach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,0,,,,Terry Sims,,,,,Alabama State,,,,Director of Football Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1,,,,Jemet Baine,,,,,Alabama State,,,,Administrative Secretary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2,,,,Courtney Perkins,,,,,Alabama State,,,,Assistant AD of Sports Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,3,,,,"Ced Quinn, Sr.",,,,,Alabama State,,,,Assistant Athletic Director of Performance Enhancement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,4,,,,Christopher Robb,,,,,Alabama State,,,,Director of Football Video Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,5,,,,Sam Lazarus,,,,,Alabama State,,,,Director of Player Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,6,,,,Fred Franklin,,,,,Alabama State,,,,Coach Comm Specialist/Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,7,,,,Jonathon Givens,,,,,Alabama State,,,,Athletics Chaplain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,,0.0,,DaeSean Winston,S,6-1,200.0,,Albany,,,Temple,,Gr.,,,,,,"Abingdon, Md. / Archbishop Spalding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,1.0,,Aamir Hall,CB,6-1,200.0,,Albany,,,Richmond,,Jr.,,,,,,"Baltimore, Md. / Mount St. Joeseph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,1.0,,Julian Hicks,WR,6-2,202.0,,Albany,,,University of Akron/Central Michigan University,,Gr.,,,,,,"Cleveland, Ohio / Mayfield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,2.0,,Roy Alexander,WR,5-10,191.0,,Albany,,,,,Jr.,,,,,,"Fort Myers, Fla. / Riverdale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,,3.0,,Brad Igweike,DB,5-8,173.0,,Albany,,,,,So.,,,,,,"Guilderland, N.Y. / Guilderland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,,4.0,,Anton Juncaj,DE,6-4,263.0,,Albany,,,Southern Connecticut/Nassau JC,,Jr.,,,,,,"Port Jervis, N.Y. / Minisink HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,,5.0,,Christian Lewis,DB,5-11,200.0,,Albany,,,,,So.,,,,,,"Farrell, Pa. / Farrell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,,6.0,,Tyler Pastula,K/P,6-3,234.0,,Albany,,,Delaware,,Jr.,,,,,,"Easton, Pa. / Easton HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,,7.0,,Reese Poffenbarger,QB,6-0,210.0,,Albany,,,Old Dominion,,Fr.,,,,,,"Middletown, Md. / Middletown HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,,7.0,,Larry Walker Jr.,DB,5-11,197.0,,Albany,,,,,Jr.,,,,,,"Aliquippa, Pa. / Aliquippa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,,8.0,,AJ Simon,DL,6-1,264.0,,Albany,,,Bloomsburg,,Jr.,,,,,,"Tobyhanna, Pa. / Pocono Mountain West",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,,8.0,,Levi Wentz,WR,6-2,200.0,,Albany,,,Old Dominion,,So.,,,,,,"Valencia, Pa. / Pine-Richland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,,9.0,,Landon Alexander,RB,6-0,195.0,,Albany,,,,,Fr.,,,,,,"Aliquippa, Pa. / Central Valley HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,,9.0,,Michel Lucien,LB,6-0,235.0,,Albany,,,Monroe College,,Jr.,,,,,,"Union, N.J. / Union",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,,10.0,,Jackson Parker,WR,6-1,192.0,,Albany,,,,,So.,,,,,,"Kingston, N.Y. / Cheshire Academy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,,11.0,,Lasalle Rose Jr.,WR,5-9,176.0,,Albany,,,,,Fr.,,,,,,"Waldorf, Md. / Rock Creek Christian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,,12.0,,Trey Lindsey,QB,6-1,200.0,,Albany,,,Auburn,,Sr.,,,,,,"Montgomery, Ala. /",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,,13.0,,Brevin Easton,WR,5-11,192.0,,Albany,,,Assumption,,Jr.,,,,,,"Severn, Md. / Archbishop Spalding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,,14.0,,Kevon Angry,DB,5-9,185.0,,Albany,,,Butler CC/Western Carolina,,Jr.,,,,,,"Powder Springs, Ga. / McEachern",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,,14.0,,Joe Tortello,QB,5-10,181.0,,Albany,,,,,Fr.,,,,,,"Albany, N.Y. / Notre Dame-Bishop Gibbons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,,15.0,,Ori Jean-Charles,LB,6-1,230.0,,Albany,,,Louisville/Maine,,Sr.,,,,,,"Spring Valley, N.Y. / Spring Valley HS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,,16.0,,Ben Howe-Jones,LB,6-0,208.0,,Albany,,,,,So.,,,,,,"Edinboro, Pa. / General McLane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,,17.0,,Quinn Zinobile,WR,6-2,210.0,,Albany,,,Clarion,,Jr.,,,,,,"Alexandria, Pa. / Juniata Valley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,,18.0,,Aedan McDermott,QB,6-1,207.0,,Albany,,,,,Fr.,,,,,,"Guilford, Conn. / Guilford",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,,19.0,,Isaac Duffy,DB,5-8,185.0,,Albany,,,NC State,,Jr.,,,,,,"Binghamton, N.Y. / Clayton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,,20.0,,Denzel Patrick,S,5-10,195.0,,Albany,,,,,Fr.,,,,,,"Hartford, CT / Bloomfield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,,21.0,,Semaj Brown,S,5-10,200.0,,Albany,,,,,So.,,,,,,"Chicago, Ill. / Morgan Park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,,23.0,,Nate Larkins,RB,6-0,220.0,,Albany,,,Bentley,,Sr.,,,,,,"Huntington, N.Y. / John H. Glenn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,,25.0,,Jose Lopez-Quinones,RB,5-9,199.0,,Albany,,,,,So.,,,,,,"Middletown, Pa. / Middletown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,,27.0,,Tyler Merwarth,DB,5-11,190.0,,Albany,,,,,Fr.,,,,,,"Quakertown, Pa. / Quakertown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,,28.0,,Griffin Woodell,RB,5-9,191.0,,Albany,,,,,Fr.,,,,,,"Glens Falls, N.Y. / Glens Falls",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,,29.0,,Parris Smiley,DB,5-11,184.0,,Albany,,,,,Fr.,,,,,,"Rochester, N.Y. / McQuaid Jesuit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,,30.0,,Nick Totten,DB,5-11,180.0,,Albany,,,Pace,,So.,,,,,,"Toms River, N.J. / Toms River East",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,,31.0,,Jahlil Johnson,LB,6-1,201.0,,Albany,,,,,Fr.,,,,,,"Rochester, N.Y. / Aquinas Institute",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,,32.0,,Kavon Chambers,RB,5-11,205.0,,Albany,,,,,Fr.,,,,,,"Lakewood, N.J. / Fork Union Military Academy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,,33.0,,Bill Hackett,DB,5-8,186.0,,Albany,,,Lackawanna College,,So.,,,,,,"Trenton, N.J. / Trenton Central",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,,34.0,,Conrad Perry,RB,5-9,201.0,,Albany,,,Sacred Heart,,So.,,,,,,"Bronx, N.Y. / Mount St. Michael Academy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,,36.0,,Kyle Ormsby,LB,5-11,208.0,,Albany,,,,,So.,,,,,,"Queens, N.Y. / Rabun Gap-Nacoochee High School",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,,37.0,,John Opalko,K/P,5-10,175.0,,Albany,,,,,Fr.,,,,,,"Springdale, Pa. / Central Catholic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,,38.0,,David Byrd,DB,5-9,170.0,,Albany,,,Hudson Valley,,Jr.,,,,,,"Bowie, Md. / Bowie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,,42.0,,Dylan Kelly,LB,6-1,214.0,,Albany,,,,,So.,,,,,,"Amhurst, N.Y. / Williamsville North",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41,,44.0,,Sammy Knipe,LB,6-0,236.0,,Albany,,,,,Fr.,,,,,,"State College, Pa. / St. Thomas More",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,,45.0,,Cole Esposito,LB,5-10,209.0,,Albany,,,Sacred Heart,,Jr.,,,,,,"Cortlandt Manor, N.Y. / Kennedy Catholic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,,46.0,,Joe Leccese,DB,5-7,175.0,,Albany,,,,,Fr.,,,,,,"Staten Island, N.Y. / St. Peter's",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,,47.0,,Russell Dietz,LS,5-10,220.0,,Albany,,,Springfield College,,So.,,,,,,"Islip, N.Y. / Islip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,,47.0,,Kellen Taylor,WR,6-1,192.0,,Albany,,,,,Fr.,,,,,,"Schenectady, N.Y. / Guilderland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,,48.0,,Michael Sbuttoni,K/P,5-9,183.0,,Albany,,,,,Fr.,,,,,,"Burnt Hills, N.Y. / Burnt Hills-Ballston Lake",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47,,49.0,,Tyler Pucci,K/P,6-1,151.0,,Albany,,,,,Fr.,,,,,,"Rochester, N.Y. / Valley Central",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,,50.0,,John Dodaro,LB,6-0,223.0,,Albany,,,,,Fr.,,,,,,"Lacey, N.J. / Lacey Township",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49,,51.0,,Tyson Foster,OL,6-0,294.0,,Albany,,,,,So.,,,,,,"Rochester, N.Y. / Aquinas Institute",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,,52.0,,Stephen Sokach-Minnick,LS,6-0,226.0,,Albany,,,,,So.,,,,,,"West Pittston, Pa. / Wyoming Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51,,53.0,,Joseph Black,OL,5-11,278.0,,Albany,,,,,Fr.,,,,,,"Buffalo, N.Y. / St. Francis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52,,54.0,,Brock Boyer,DL,5-11,240.0,,Albany,,,,,Fr.,,,,,,"Allentown, Pa. / Parkland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,,55.0,,Chris Walsh,OL,6-3,326.0,,Albany,,,,,Fr.,,,,,,"Wilmington, Mass. / Austin Prep",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,,56.0,,Stephen Demeo,OL,5-11,263.0,,Albany,,,,,Fr.,,,,,,"Pittsford, N.Y. / Pittsford Sutherland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,,58.0,,Joseph Greaney,DL,6-3,277.0,,Albany,,,,,So.,,,,,,"Bedford, Mass. / Arlington Catholic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56,,59.0,,Kenneth Santos,OL,6-2,280.0,,Albany,,,,,Fr.,,,,,,"Mamaroneck, N.Y. / Mamaroneck",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,,64.0,,Nathaniel Pierre,OL,6-2,303.0,,Albany,,,Southern Illinois,,Sr.,,,,,,"Brooklyn, N.Y. / Christ the King",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58,,65.0,,Ozzie Hutchinson,OL,6-4,308.0,,Albany,,,,,So.,,,,,,"Poughkeepsie, N.Y. / Soackenkill",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59,,67.0,,Emmit Harris,OL,6-4,291.0,,Albany,,,,,Fr.,,,,,,"Albany, N.Y. / Shaker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,,68.0,,Matt Cordero,OL,6-2,312.0,,Albany,,,,,Fr.,,,,,,"Brooklyn, N.Y. / Saint Joseph by the Sea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,,71.0,,Josh Gaffney,OL,6-3,319.0,,Albany,,,,,Fr.,,,,,,"York, Pa. / Central York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,62,,72.0,,Will Marotta,OL,6-4,324.0,,Albany,,,,,So.,,,,,,"Collegeville, Pa. / Perkiomen Valley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63,,73.0,,Scott Houseman,OL,6-2,311.0,,Albany,,,Lackawanna College,,Jr.,,,,,,"Jacob's Creek, Pa. / Yough",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,64,,74.0,,Matt Aulicino,OL,6-5,218.0,,Albany,,,,,Fr.,,,,,,"Pittsburgh, Pa. / Central Catholic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,65,,75.0,,Kevin Singer,OL,6-4,286.0,,Albany,,,,,So.,,,,,,"Littleton, Colo. / East Coast Prep",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66,,77.0,,Nolan Latulippe,OL,6-7,279.0,,Albany,,,,,Fr.,,,,,,"Ottawa, ON / Gaulois De Gaitineau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67,,78.0,,Mike Gecik,OL,6-3,296.0,,Albany,,,,,Fr.,,,,,,"Milford, Pa. / Delaware Valley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,68,,79.0,,Ondre Toland,OL,6-2,310.0,,Albany,,,Monroe College,,Jr.,,,,,,"New Rochelle, N.Y. / East Hartford",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,69,,80.0,,Kristen McAdams,WR,6-1,218.0,,Albany,,,,,Fr.,,,,,,"Philadelphia, Pa. / Imhotep Institute",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,70,,82.0,,Jake Lezzer,WR,5-11,198.0,,Albany,,,,,Fr.,,,,,,"Clearfield, Pa. / The Hun School",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,71,,83.0,,Dan Whaley,WR,6-2,200.0,,Albany,,,LaSalle,,So.,,,,,,"Lansdowne, Pa. / Haverford School",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,72,,84.0,,Carter Moses,TE,6-5,225.0,,Albany,,,,,Fr.,,,,,,"Wilmington, N.C. / Hoggard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,73,,85.0,,Haydon Broockmann,TE,6-2,237.0,,Albany,,,,,So.,,,,,,"Stuyvesant, N.Y. / Ichabod Crane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,74,,86.0,,Dylan Walker,TE,6-3,250.0,,Albany,,,Colorado St.,,Fr.,,,,,,"Douglassville, Pa. / Pope John Paul II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,75,,87.0,,Ian Renninger,TE,6-5,254.0,,Albany,,,,,Jr.,,,,,,"Pottsville, Pa. / Pottsville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,76,,88.0,,Chad Parker,TE,6-3,248.0,,Albany,,,UNLV/Dodge City CC,,Sr.,,,,,,"Victor, N.Y. / Victor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,77,,89.0,,Tairi Ketner,TE,6-6,250.0,,Albany,,,,,Jr.,,,,,,"Philadelphia, Pa. / Woodstock Academy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,78,,90.0,,King Tshiama,DL,6-1,216.0,,Albany,,,,,Fr.,,,,,,"Gaithersburg, Md. / Quince-Orchard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,79,,91.0,,Ronnell McCorn,DL,6-0,222.0,,Albany,,,,,So.,,,,,,"Brunswick, Md. / Our Lady of Good Counsel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,80,,93.0,,Elijah Hills,DL,6-1,275.0,,Albany,,,,,So.,,,,,,"Rockaway, N.J. / Delbarton School",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,81,,94.0,,Ghassan Chehade,DL,6-5,260.0,,Albany,,,,,Fr.,,,,,,"Latham, N.Y. / Shaker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,82,,97.0,,Matthew Obiagu,DL,6-4,230.0,,Albany,,,,,Fr.,,,,,,"Camden, Del. / Caesar Rodney",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,83,,98.0,,Jack Mottola,LB,6-1,231.0,,Albany,,,,,Fr.,,,,,,"Coster, N.J. / Northern Valley Regional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,84,,99.0,,AJ Beatty,DL,6-4,287.0,,Albany,,,UNC Chapel Hill,,So.,,,,,,"Pittsburgh, Pa. / Central Catholic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,0,,,,Greg Gattuso,,,,,Albany,,,,Head Coach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1,,,,Jared Ambrose,,,,,Albany,,,,Associate Head Coach / Offensive Coordinator / Quarterbacks Coach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2,,,,Bill Nesselt,,,,,Albany,,,,Defensive Coordinator / Linebackers Coach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,3,,,,Joe Bernard,,,,,Albany,,,,Special Teams Coordinator / Defensive Line Coach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,4,,,,Will Fiacchi,,,,,Albany,,,,Tight Ends Coach / Passing Game Coordinator / Recruiting Coordinator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,5,,,,Jordan Orlovsky,,,,,Albany,,,,Running Backs Coach / Chief of Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,6,,,,Peter Davila,,,,,Albany,,,,Safeties Coach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,7,,,,Darrin Walls,,,,,Albany,,,,Co-Defensive Coordinator / Cornerbacks Coach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,8,,,,Jacob Alsadek,,,,,Albany,,,,Offensive Line Coach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,9,,,,Chris Calabrese,,,,,Albany,,,,Outside Linebackers Coach / Defensive Recruiting Coordinator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,10,,,,Brendan Smith,,,,,Albany,,,,Tight Ends Coach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,11,,,,Dion Lewis,,,,,Albany,,,,Assistant Running Backs Coach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
