,Statistic,#,Full Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Previous School,Letters,Image,Name,Title
0,,,Gage Alexander,LB,6-2,185.0,R-Fr.,"Fayette, Ala. / Hubbertville",,0.0,,,
1,,,Edgar Amaya,OL,6-3,315.0,R-Fr.,"Florence, Ala. / Russellville",University of Colorado,0.0,,,
2,,41.0,Tyler Antkowiak,DE,6-5,238.0,R-Jr.,"Trussville, Ala. / Hewitt-Trussville",,3.0,,,
3,,29.0,Jamarion Augustus,LB,6-3,205.0,So.,"Montgomery, Ala. / Montgomery Catholic",,1.0,,,
4,,16.0,Javen Augustus,DL,6-4,206.0,So.,"Montgomery, Ala. / Montgomery Catholic",,1.0,,,
5,,52.0,Drew Beddingfield,DL,6-2,273.0,R-Sr.,"Elkmont, Ala. / West Limestone",,5.0,,,
6,,,Philjae Bien-Aime,DB,5-11,185.0,R-Fr.,"North Miami, Fla. / St. Thomas Aquinas",University of Central Florida,0.0,,,
7,,,Nathan Brockaway,TE,6-4,215.0,Fr.,"Russellville, Ala. / Russellville",,0.0,,,
8,,,Kaleb Brown,DL,6-0,280.0,So.,"Clarksdale, Miss. / Clarksdale",Coahoma Community College,0.0,,,
9,,70.0,Nathan Brown,OL,6-4,278.0,R-Jr.,"Spanish Fort, Ala. / Spanish Fort",,4.0,,,
10,,82.0,Tylen Campbell,WR,5-10,178.0,R-Fr.,"Jackson, Ala. / Jackson",,0.0,,,
11,,47.0,Cole Cavin,TE,6-5,236.0,R-Fr.,"Trion, Ga. / Trion",,0.0,,,
12,,77.0,Mickel Clay,OL,6-5,278.0,Jr.,"Cincinnati, Ohio / Finneytown Secondary Campus",Hocking Technical College,1.0,,,
13,,33.0,E.J. Colbert,DL,6-0,252.0,R-So.,"Cordova, Ala. / Hartselle",,2.0,,,
14,,,Cody Collinsworth,DB,6-0,190.0,R-So.,Tuscumbia / Deshler,,0.0,,,
15,,37.0,Sam Contorno,K,5-9,177.0,R-Jr.,"Tuscaloosa, Ala. / Holy Spirit Catholic",,4.0,,,
16,,36.0,Jakob Cummings,LB,6-0,218.0,R-Sr.,"Auburn, Ala. / Auburn",,5.0,,,
17,,34.0,Jalyn Daniels,RB,5-9,168.0,So.,"Tallassee, Ala. / Tallassee",,1.0,,,
18,,45.0,Tyrik Daniels,DL,5-11,228.0,R-So.,"Demopolis, Ala. / Linden",,2.0,,,
19,,75.0,Will Derico,OL,6-4,312.0,Sr.,"Montgomery, Ala. / Robert E. Lee",Northeast Mississippi Community College,1.0,,,
20,,5.0,Justin Douglas,DB,5-8,159.0,Sr.,"Atlanta, Ga. / Mount Vernon Presbyterian",Southeastern Louisiana University,1.0,,,
21,,42.0,Thomas Dowis,K,6-1,205.0,R-So.,"Bogart, Ga. / North Oconee",,3.0,,,
22,,4.0,Parker Driggers,RB,6-0,198.0,R-Jr.,"Brantley, Ala. / Brantley",,4.0,,,
23,,,Brayson Edwards,QB,6-1,183.0,R-Fr.,"Sylacauga, Ala. / Sylacauga",,0.0,,,
24,,,Elijah Elmore,DL,6-0,300.0,R-So.,"Prattville, Ala. / Autauga Academy",Iowa Western Community College,0.0,,,
25,,26.0,Riely Evans,DB,6-1,176.0,R-Jr.,"Courtland, Ala. / R.A. Hubbard",,4.0,,,
26,,23.0,Micah Fann,DL,6-1,236.0,Jr.,"Dickson, Tenn. / Nashville Christian",Southeast Missouri State University,1.0,,,
27,,81.0,"Ollie Finch, Jr.",WR,6-1,182.0,R-So.,"Attalla, Ala. / Etowah",Troy University,1.0,,,
28,,39.0,Damion Fitzpatrick,DB,6-2,218.0,R-So.,"Lithonia, Ga. / Arabia Mountain",,2.0,,,
29,,,Amauri Floyd,LB,6-1,210.0,Jr.,"Miami, Fla. / North Miami Beach",Robert Morris University,0.0,,,
30,,,Evan Godwin,LS,5-11,200.0,R-Fr.,"Andalusia, Ala. / Straughn",,0.0,,,
31,,,Cade Golden,QB,6-0,175.0,Fr.,"Pell City, Ala. / Thompson",Sewanee,0.0,,,
32,,79.0,Raykwon Goldthwaite,OL,6-8,310.0,R-Fr.,"Birmingham, Ala. / Jackson-Olin",,0.0,,,
33,,50.0,Amir Graham,OL,5-11,275.0,R-Fr.,"Pensacola, Fla. / Escambia",,0.0,,,
34,,63.0,Brody Gravitt,OL,6-0,280.0,R-Fr.,"Haleyville, Ala. / Haleyville",,0.0,,,
35,,0.0,Kam'ron Green,DL,6-4,233.0,Jr.,"Bradenton, Fla. / Southeast",Butler Community College,1.0,,,
36,,6.0,Gallil Guillaume,LB,6-1,227.0,Sr.,"Suwanee, Ga. / Lambert",Cornell University,1.0,,,
37,,7.0,Ben Harris,QB,6-1,203.0,R-So.,"Midwest City, Okla. / Carl Albert",University of Oklahoma,1.0,,,
38,,95.0,Elijah Hartnett,TE,6-1,247.0,R-Fr.,"Florence, Ala. / Florence",,0.0,,,
39,,88.0,Kaleb Heatherly,TE,6-5,255.0,So.,"Cullman, Ala. / Cullman",,1.0,,,
40,,80.0,Sawyer Heptinstall,WR,6-2,197.0,R-So.,"Blountsville, Ala. / Blountsville",,2.0,,,
41,,0.0,Jalen Hercules,TE,6-2,218.0,R-Jr.,"Oakland, Calif. / Encina",Laney College,1.0,,,
42,,54.0,Carson Hill,OL,6-1,276.0,R-Fr.,"Cullman, Ala. / Cullman",,0.0,,,
43,,25.0,Keenan Hill,DB,5-11,173.0,R-Fr.,"Detroit, Mich. / James Clemens",,0.0,,,
44,,71.0,Denzel Holder,OL,6-4,326.0,R-Fr.,"Birmingham, Ala. / Huffman",,0.0,,,
45,,85.0,Jakobie Hurley,WR,6-4,192.0,R-Fr.,"Florence, Ala. / Florence",,0.0,,,
46,,94.0,Jake Ingram,DE,6-3,205.0,R-Fr.,"Pelham, Ala. / Pelham",,0.0,,,
47,,8.0,Cameron Jamar,DB,5-8,178.0,R-So.,"New Market, Ala. / Buckhorn",,2.0,,,
48,,17.0,Christian Jones,LB,6-0,218.0,Jr.,"Roanoke, Ala. / Handley",Dodge City Community College,1.0,,,
49,,5.0,Takairee Kenebrew,WR,6-2,190.0,R-Sr.,"Childersburg, Ala. / Childersburg",,5.0,,,
50,,,Brayden Kyle,QB,6-1,217.0,R-Fr.,"Decatur, Ala. / Decatur Heritage Christian Academy",,0.0,,,
51,,1.0,Demarcus Lacey,WR,6-0,181.0,So.,"Birmingham, Ala. / Pleasant Grove",,1.0,,,
52,,,Andrew Leak,LB,6-0,215.0,R-So.,"Franklin, Ga. / Heard County",Middle Tennessee State University,0.0,,,
53,,18.0,Justin Luke,WR,5-11,180.0,R-So.,"Warner Robins, Ga. / Northside",,2.0,,,
54,,31.0,Ryan Madison,DB,5-11,187.0,So.,"Fultondale, Ala. / Pleasant Grove",,1.0,,,
55,,91.0,Jake McCluskey,DT,6-0,267.0,R-Fr.,"Florence, Ala. / Mars Hill Bible School",,0.0,,,
56,,64.0,Mack McCluskey,OL,6-3,297.0,Jr.,"Florence, Ala. / Mars Hill Bible",,3.0,,,
57,,86.0,Phil McDuff,LB,6-0,221.0,R-So.,"Tuscaloosa, Ala. / Tuscaloosa Academy",,3.0,,,
58,,67.0,Logan McInnish,OL,6-4,340.0,R-So.,"Muscle Shoals, Ala. / Mars Hill Bible",,3.0,,,
59,,,James Mitchell,DB,5-10,171.0,R-Fr.,"Decatur, Ala. / Austin",,0.0,,,
